iter	Passed	Remaining
0	56	31730
1	108	30605
2	160	29989
3	212	29750
4	266	29841
5	322	30029
6	377	30012
7	427	29678
8	478	29512
9	525	29093
10	575	28930
11	626	28831
12	677	28711
13	728	28613
14	779	28528
15	829	28418
16	879	28307
17	934	28355
18	985	28257
19	1034	28142
20	1082	27999
21	1130	27857
22	1178	27722
23	1228	27634
24	1277	27537
25	1327	27473
26	1378	27426
27	1427	27327
28	1475	27227
29	1524	27133
30	1570	27006
31	1617	26899
32	1667	26835
33	1715	26748
34	1764	26675
35	1813	26593
36	1860	26493
37	1907	26408
38	1956	26342
39	2006	26285
40	2055	26217
41	2105	26170
42	2153	26094
43	2202	26034
44	2253	25987
45	2303	25935
46	2350	25858
47	2398	25783
48	2446	25709
49	2494	25643
50	2543	25582
51	2592	25527
52	2640	25455
53	2687	25383
54	2737	25335
55	2788	25299
56	2837	25238
57	2885	25170
58	2933	25108
59	2980	25032
60	3028	24970
61	3077	24918
62	3125	24856
63	3175	24807
64	3223	24749
65	3271	24687
66	3319	24620
67	3369	24579
68	3418	24526
69	3468	24475
70	3517	24422
71	3564	24357
72	3615	24317
73	3662	24249
74	3710	24189
75	3759	24138
76	3809	24095
77	3858	24039
78	3906	23985
79	3954	23923
80	4002	23866
81	4048	23796
82	4095	23734
83	4145	23687
84	4193	23633
85	4241	23572
86	4290	23524
87	4339	23474
88	4388	23421
89	4436	23365
90	4482	23301
91	4531	23246
92	4580	23199
93	4628	23144
94	4677	23091
95	4723	23027
96	4773	22982
97	4822	22933
98	4872	22887
99	4922	22842
100	4971	22789
101	5021	22744
102	5070	22694
103	5117	22635
104	5164	22576
105	5215	22535
106	5266	22495
107	5313	22435
108	5361	22382
109	5409	22326
110	5458	22275
111	5507	22226
112	5555	22174
113	5604	22123
114	5653	22073
115	5702	22024
116	5751	21975
117	5803	21934
118	5852	21885
119	5901	21837
120	5949	21781
121	5996	21726
122	6044	21671
123	6092	21619
124	6140	21563
125	6187	21509
126	6238	21465
127	6286	21414
128	6334	21360
129	6383	21311
130	6433	21266
131	6484	21222
132	6532	21170
133	6580	21115
134	6628	21064
135	6676	21011
136	6725	20961
137	6773	20910
138	6822	20859
139	6871	20809
140	6918	20756
141	6965	20700
142	7012	20645
143	7063	20602
144	7110	20546
145	7158	20495
146	7206	20444
147	7255	20393
148	7302	20339
149	7350	20286
150	7400	20240
151	7449	20191
152	7498	20143
153	7546	20091
154	7595	20043
155	7643	19990
156	7692	19940
157	7743	19898
158	7795	19856
159	7845	19809
160	7892	19756
161	7942	19708
162	7990	19657
163	8039	19609
164	8088	19559
165	8135	19506
166	8182	19451
167	8228	19395
168	8277	19346
169	8324	19293
170	8370	19237
171	8419	19187
172	8465	19133
173	8513	19082
174	8561	19031
175	8610	18981
176	8658	18932
177	8706	18881
178	8753	18827
179	8800	18773
180	8850	18727
181	8898	18676
182	8946	18627
183	8998	18584
184	9048	18537
185	9098	18490
186	9145	18438
187	9193	18386
188	9241	18336
189	9287	18282
190	9336	18233
191	9387	18187
192	9435	18137
193	9485	18090
194	9533	18040
195	9581	17988
