"count","holiday","humidity","registered","summer","temp","windspeed","workingday"
2,0,81,2,0,10.66,22.0028,1
157,0,54,150,1,18.04,16.9979,1
233,0,40,199,1,37.72,15.0013,1
98,0,88,86,1,22.14,19.0012,1
6,0,74,6,0,6.56,6.0032,1
176,0,32,172,0,9.02,39.0007,1
64,0,37,61,0,9.02,27.9993,1
239,0,48,149,1,28.7,6.0032,0
4,0,54,3,1,18.04,12.998,1
67,0,35,55,0,10.66,7.0015,1
27,0,77,22,1,21.32,11.0014,1
5,0,73,2,1,24.6,6.0032,1
45,0,17,36,0,15.58,39.0007,0
163,0,51,158,0,9.02,8.9981,1
28,0,78,28,1,27.06,11.0014,1
22,0,39,17,0,12.3,23.9994,0
226,0,78,181,1,24.6,16.9979,1
331,0,19,163,0,35.26,11.0014,0
119,0,49,115,0,12.3,8.9981,1
248,0,26,190,1,27.88,16.9979,1
153,0,54,114,1,29.52,22.0028,1
74,0,73,73,0,3.28,0,1
366,0,49,240,1,24.6,0,0
1,0,65,1,0,10.66,6.0032,1
98,0,73,74,1,24.6,16.9979,0
7,0,67,6,0,18.86,7.0015,1
151,0,94,138,1,21.32,16.9979,1
170,0,66,155,1,16.4,8.9981,1
453,0,83,398,1,23.78,12.998,1
3,0,38,2,0,3.28,19.0012,1
183,0,64,139,1,23.78,16.9979,1
241,0,70,211,0,31.16,19.9995,1
109,0,47,108,0,8.2,6.0032,1
30,0,46,30,0,5.74,22.0028,1
90,0,15,76,0,24.6,32.9975,1
191,0,62,174,1,16.4,22.0028,1
71,0,76,61,0,13.94,19.9995,1
241,0,46,205,1,13.94,22.0028,1
158,0,58,122,1,28.7,35.0008,1
152,0,39,127,1,36.9,19.9995,1
78,0,61,55,0,28.7,11.0014,0
150,0,55,121,1,21.32,7.0015,1
6,0,50,6,0,4.92,15.0013,1
2,0,73,1,1,24.6,6.0032,1
194,0,58,144,1,28.7,40.9973,1
132,0,38,127,0,9.84,7.0015,1
3,0,65,3,0,10.66,8.9981,1
3,0,50,3,0,5.74,19.9995,1
3,0,53,3,0,13.12,19.0012,1
193,0,50,157,1,25.42,0,1
361,0,39,219,0,34.44,19.0012,0
82,0,43,62,0,16.4,12.998,1
18,0,40,18,0,8.2,7.0015,0
638,0,28,555,1,30.34,7.0015,1
604,0,65,521,1,25.42,27.9993,1
221,0,87,208,1,13.94,11.0014,1
147,0,43,92,0,16.4,23.9994,0
223,0,74,156,1,28.7,7.0015,0
374,0,30,232,0,33.62,8.9981,0
95,0,93,94,0,6.56,7.0015,1
4,0,73,3,1,22.14,22.0028,1
5,0,87,4,1,14.76,15.0013,0
88,0,46,74,0,15.58,19.9995,1
10,0,71,6,1,13.94,12.998,1
106,0,77,82,1,17.22,16.9979,1
